티커,이름,변동성(%),평균 거래량,평균 스프레드,위험 점수
BTC=F,Bitcoin Futures,3.494667860392231,11485.107382550335,0.049155824466560034,26.3687808021474
CL=F,Crude Oil Futures,1.7879455464673373,309132.92281879194,0.027345541781487404,14.568361091184544
GC=F,Gold Futures,0.9337160983810745,4388.86577181208,0.009742801644580369,5.452183522175509
SI=F,Silver Futures,1.9101331332071547,1360.1543624161075,0.01444915909330983,8.547251448223435
ES=F,S&P 500 Futures,0.8416728098217393,1516373.0268456375,0.011785101656544394,6.313716967352132
NQ=F,Nasdaq Futures,1.1797886349400315,588776.77852349,0.016683789179767667,8.932638125628479
YM=F,Dow Futures,0.7587430156167038,127411.95302013423,0.010340743403267922,5.553667488037438
NG=F,Natural Gas Futures,5.0250322234661065,167677.86912751678,0.06343878541522828,34.2348907274702
ZC=F,Corn Futures,1.3001077317079008,159783.49494949495,0.018306878083804188,9.806622142100043
ZS=F,Soybean Futures,1.1714196899677412,89607.6228956229,0.015814323762162838,8.498451608488713
6E=F,Euro FX Futures,0.4212679978916372,81454.84228187919,0.005885800628094786,3.159672683481607
6J=F,Japanese Yen Futures,0.6555393537762748,57954.288590604025,0.008928809654781907,4.800801993497914
